movie,cell_number,object_id,Acc(1)/Alt(0)/NA(3),slice_num,x1,y1,z1,x4,y4,z4,x2,y2,z2,x3,y3,z3,Mother's cell number,Daughter cell Acc,Daughter cell Alt,dist pole to pole,length(um)
CDCssbGFPmcherry01_102,8,-8,1,73,502.66666,459,73,517,477,73,505.33334,462,73,517,477,73,7,0,0,23.00966396,2.461404873
CDCssbGFPmcherry01_102,8,-8,1,76,490,467,76,515.3333,473.33334,76,499.33334,469,76,515.3333,473.33334,76,7,0,0,26.11297157,2.793373931
CDCssbGFPmcherry01_102,8,-8,1,79,490.33334,475.33334,79,517,476.33334,79,501.66666,476.33334,79,517,476.33334,79,7,0,0,26.68540342,2.854608487
CDCssbGFPmcherry01_102,8,-8,1,82,487.66666,480.33334,82,513.6667,476,82,498,479,82,513.6667,476,82,7,0,0,26.35867818,2.81965782
CDCssbGFPmcherry01_102,8,-8,1,85,487.33334,483.66666,85,513.6667,475,85,502,478,85,513.6667,475,85,7,0,0,27.7228578,2.965587738
CDCssbGFPmcherry01_102,8,-8,1,88,489.33334,479,88,517.3333,475,88,508.66666,474.66666,88,517.3333,475,88,7,0,0,28.28423165,3.02563939
CDCssbGFPmcherry01_102,8,-8,1,91,492.66666,480,91,522.3333,472.66666,91,510,476.33334,91,522.3333,472.66666,91,7,0,0,30.5595714,3.269038527
CDCssbGFPmcherry01_102,8,-8,1,94,487.33334,487.33334,94,516,473.66666,94,505,480.33334,94,516,473.66666,94,7,0,0,31.75776343,3.397212311
CDCssbGFPmcherry01_102,8,-8,1,97,487.66666,489.66666,97,518.6667,474.66666,97,518.6667,474.66666,97,518.6667,474.66666,97,7,0,0,34.43838672,3.683965704
CDCssbGFPmcherry01_102,8,-8,1,100,490,491.66666,100,517.3333,472.66666,100,517.3333,472.66666,100,517.3333,472.66666,100,7,0,0,33.28827555,3.560935258
CDCssbGFPmcherry01_102,8,-8,1,103,488,486,103,520.6667,474.33334,103,505.33334,483,103,520.6667,474.33334,103,7,0,0,34.68752289,3.710616462
CDCssbGFPmcherry01_102,8,-8,1,106,495,498,106,524.3333,477,106,524.3333,477,106,524.3333,477,106,7,0,0,36.07551093,3.85909323
CDCssbGFPmcherry01_102_2,1,-1,3,34,439,300,34,442.33334,314.66666,34,442.33334,314.66666,34,442.33334,314.66666,34,0,0,2,15.04068054,1.608941549
