movie,cell_number,object_id,Acc(1)/Alt(0)/NA(3),slice_num,x1,y1,z1,x4,y4,z4,x2,y2,z2,x3,y3,z3,Mother's cell number,Daughter cell Acc,Daughter cell Alt,dist pole to pole
CDCssbGFPmcherry01_030_2,3,-3,1,175,576,411.33334,175,588.3333,448.66666,175,588.3333,448.66666,175,588.3333,448.66666,175,2,4,0,39.31777042
CDCssbGFPmcherry01_030_2,4,-4,1,178,562.6667,423.33334,178,581.3333,428.66666,178,581.3333,428.66666,178,581.3333,428.66666,178,3,0,0,19.41355861
CDCssbGFPmcherry01_030_2,4,-4,1,181,562,438,181,581.3333,427.33334,181,581.3333,427.33334,181,581.3333,427.33334,181,3,0,0,22.08062781
CDCssbGFPmcherry01_030_2,4,-4,1,184,565.3333,445,184,581.6667,429,184,581.6667,429,184,581.6667,429,184,3,0,0,22.86438181
CDCssbGFPmcherry01_030_2,4,-4,1,187,571,447.66666,187,585.3333,428.66666,187,585.3333,428.66666,187,585.3333,428.66666,187,3,0,0,23.8000733
CDCssbGFPmcherry01_030_2,4,-4,1,190,573.3333,454,190,583,431,190,583,431,190,583,431,190,3,0,0,24.94884945
CDCssbGFPmcherry01_030_2,4,-4,1,193,575.6667,455,193,582,429,193,582,429,193,582,429,193,3,0,0,26.76024456
CDCssbGFPmcherry01_030_2,4,-4,1,196,578,456.66666,196,582,428.66666,196,579.3333,440.33334,196,582,428.66666,196,3,0,0,28.28427125
CDCssbGFPmcherry01_030_2,4,-4,1,199,576.6667,455.66666,199,582,427.33334,199,579.6667,441,199,582,427.33334,199,3,0,0,28.83090549
CDCssbGFPmcherry01_030_2,4,-4,1,202,579.3333,456,202,589.3333,427.66666,202,585.3333,440.33334,202,589.3333,427.66666,202,3,0,0,30.04626692
CDCssbGFPmcherry01_030_2,4,-4,1,205,579,454.33334,205,593.6667,426,205,593.6667,426,205,593.6667,426,205,3,0,0,31.90439224
CDCssbGFPmcherry01_030_2,4,-4,1,208,578.6667,454.33334,208,596,427.33334,208,596,427.33334,208,596,427.33334,208,3,0,0,32.08493866
CDCssbGFPmcherry01_030_2,4,-4,1,211,581,461,211,596.3333,432.33334,211,596.3333,432.33334,211,596.3333,432.33334,211,3,0,0,32.50980597
CDCssbGFPmcherry01_030_2,4,-4,1,214,582.3333,457.33334,214,603,432.66666,214,603,432.66666,214,603,432.66666,214,3,0,0,32.18008066
CDCssbGFPmcherry01_030_2,4,-4,1,217,583.3333,460.33334,217,605.3333,433.33334,217,605.3333,433.33334,217,605.3333,433.33334,217,3,0,0,34.82814953
CDCssbGFPmcherry01_030_2,5,-5,0,139,611.3333,431,139,594.3333,438,139,594.3333,438,139,594.3333,438,139,2,6,0,18.38477631
CDCssbGFPmcherry01_030_2,5,-5,0,142,608.6667,428.66666,142,591,439.33334,142,591,439.33334,142,591,439.33334,142,2,6,0,20.63711102
CDCssbGFPmcherry01_030_2,5,-5,0,145,604.3333,427.66666,145,587.6667,440.66666,145,602,429.66666,145,587.6667,440.66666,145,2,6,0,21.13706592
CDCssbGFPmcherry01_030_2,5,-5,0,148,602.6667,425.33334,148,588,443,148,598.6667,428.33334,148,588,443,148,2,6,0,22.96133629
